Topic,Word,P,Label,CountryTopic
7,cent,0.050164122,"Economy, market, and trade",CA_7
7,economy,0.014523644,"Economy, market, and trade",CA_7
7,price,0.012736037,"Economy, market, and trade",CA_7
7,fall,0.011529728,"Economy, market, and trade",CA_7
7,economic,0.010673234,"Economy, market, and trade",CA_7
7,rate,0.010505954,"Economy, market, and trade",CA_7
7,market,0.010351259,"Economy, market, and trade",CA_7
7,high,0.009530382,"Economy, market, and trade",CA_7
7,low,0.009288182,"Economy, market, and trade",CA_7
7,oil,0.008686264,"Economy, market, and trade",CA_7
7,cut,0.008476529,"Economy, market, and trade",CA_7
7,month,0.008285005,"Economy, market, and trade",CA_7
7,point,0.008081749,"Economy, market, and trade",CA_7
7,rise,0.008049852,"Economy, market, and trade",CA_7
7,drop,0.007979332,"Economy, market, and trade",CA_7
7,canadian,0.007431817,"Economy, market, and trade",CA_7
7,week,0.00701518,"Economy, market, and trade",CA_7
7,global,0.006835212,"Economy, market, and trade",CA_7
7,demand,0.006350977,"Economy, market, and trade",CA_7
7,trade,0.006350511,"Economy, market, and trade",CA_7
8,vaccine,0.019034529,Politics and elections,CA_8
8,advertisement,0.015984744,Politics and elections,CA_8
8,government,0.013698494,Politics and elections,CA_8
8,state,0.013682474,Politics and elections,CA_8
8,country,0.012383135,Politics and elections,CA_8
8,continue,0.010182453,Politics and elections,CA_8
8,party,0.008759675,Politics and elections,CA_8
8,leader,0.006091021,Politics and elections,CA_8
8,meeting,0.006001274,Politics and elections,CA_8
8,drug,0.005904682,Politics and elections,CA_8
8,campaign,0.005769697,Politics and elections,CA_8
8,border,0.005586687,Politics and elections,CA_8
8,president,0.005483959,Politics and elections,CA_8
8,political,0.005441098,Politics and elections,CA_8
8,decision,0.005358288,Politics and elections,CA_8
8,administration,0.005006295,Politics and elections,CA_8
8,election,0.0049099,Politics and elections,CA_8
8,vote,0.00488826,Politics and elections,CA_8
8,national,0.004601769,Politics and elections,CA_8
8,question,0.00454738,Politics and elections,CA_8
9,technology,0.01876878,Technology and digital solutions,CA_9
9,company,0.018486241,Technology and digital solutions,CA_9
9,device,0.017145867,Technology and digital solutions,CA_9
9,datum,0.0160385,Technology and digital solutions,CA_9
9,use,0.012536214,Technology and digital solutions,CA_9
9,iot,0.01209713,Technology and digital solutions,CA_9
9,solution,0.012074904,Technology and digital solutions,CA_9
9,system,0.01016777,Technology and digital solutions,CA_9
9,service,0.009561201,Technology and digital solutions,CA_9
9,app,0.008621002,Technology and digital solutions,CA_9
9,network,0.008609449,Technology and digital solutions,CA_9
9,product,0.007777505,Technology and digital solutions,CA_9
